trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000W0,Metoprolol Tartrate With Diuretic,Metoprolol Tartrate With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000X0,Nadolol With Diuretic,Nadolol With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000Y0,Co-Prenozide (Oxprenolol HCl/Cyclopenth),Co-Prenozide (Oxprenolol HCl/Cyclopenth),core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0204000Z0,Penbutolol Sulphate With Diuretic,Penbutolol Sulphate With Diuretic,core,prescription_exposure,not applicable,bnf_lkp,Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Beta-Adrenoceptor Blocking Drugs | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010AA,Macitentan,Macitentan,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010AB,Riociguat,Riociguat,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010E0,Diazoxide,Diazoxide,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010J0,Hydralazine Hydrochloride,Hydralazine Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010N0,Minoxidil,Minoxidil,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010T0,Sodium Nitroprusside,Sodium Nitroprusside,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010U0,Bosentan,Bosentan,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,0205010V0,Iloprost,Iloprost,core,prescription_exposure,not applicable,bnf_lkp,Vasodilator Antihypertensive Drugs | Vasodilator Antihypertensive Drugs | Hypertension and Heart Failure | Cardiovascular System,candidate_requires_pharmacology_review
