trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AR,Empagliflozin/Metformin,Empagliflozin/Metformin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AS,Albiglutide,Albiglutide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AU,Ins Degludec/Liraglutide,Ins Degludec/Liraglutide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AV,Saxagliptin/Dapagliflozin,Saxagliptin/Dapagliflozin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AW,Semaglutide,Semaglutide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023AX,Ertugliflozin,Ertugliflozin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023B0,Pioglitazone Hydrochloride,Pioglitazone Hydrochloride,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023I0,Guar Gum,Guar Gum,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023M0,Miglitol,Miglitol,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023R0,Repaglinide,Repaglinide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023S0,Rosiglitazone,Rosiglitazone,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023T0,Troglitazone,Troglitazone,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023U0,Nateglinide,Nateglinide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023V0,Metformin Hydrochloride/Rosiglitazone,Metformin Hydrochloride/Rosiglitazone,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023W0,Metformin Hydrochloride/Pioglitazone,Metformin Hydrochloride/Pioglitazone,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023X0,Sitagliptin,Sitagliptin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023Y0,Exenatide,Exenatide,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,0601023Z0,Metformin Hydrochloride/Vildagliptin,Metformin Hydrochloride/Vildagliptin,core,prescription_exposure,not applicable,bnf_lkp,Other Antidiabetic Drugs | Antidiabetic Drugs | Drugs Used In Diabetes | Endocrine System,candidate_requires_pharmacology_review
